,host,class
1302239,hdxksemitismgavenuteq.com,dga
1761076,wfphulurmpouwplr.com,dga
1970114,theodinproject.com,legit
426374,attractivewear.net,legit
1240013,dlxomachuslazaroqok.com,dga
1352798,kaodanarianaqh.com,dga
1501107,sycrplefrostbitecycz.com,dga
1410346,nnvhamentalistfanchonut.com,dga
1799789,sqwhuqngfad.xxx,dga
1290181,gixqinalcentricem.com,dga
530806,burkesoutlet.com,legit
1753637,qpgepnnqskeiqn.info,dga
1150246,ujjbbhmbvuty.ru,dga
1948044,lipetsk.ru,legit
262826,haarshop.nl,legit
1556988,wcvesemitismgavenuteq.com,dga
1855547,hooreqoonw.com,dga
1883345,afr.com,legit
1754065,qtmupoupiocfmud.com,dga
1882458,putaosp.webcam,legit
1360814,koqkestnessbiophysicalohax.com,dga
1872051,venezuelaaldia.com,legit
643015,goonbrigade.de,legit
526098,ebmelal.ir,legit
942061,avtor24.ru,legit
1753331,qlvulzyuooemol.biz,dga
1509314,tjyjleasuredehydratorysagp.com,dga
256177,diouda.fr,legit
1913281,mp3to.cc,legit
1171322,3w9dkttg9xart.net,dga
69476,yuluji.blogspot.com,legit
124140,toppdf.club,legit
1778865,gmoyfuaf.eu,dga
891620,locksonline.co.uk,legit
155543,pornosphere.com,legit
11228,aalto.fi,legit
1091014,d4c3jc196v5bv1rraoui2ivq3m.org,dga
671695,samnet.net,legit
1169120,nrbnwov.eu,dga
1862952,fodorga.com,dga
528838,freegreatdnld290.download,legit
1856846,ldbgyfl.dyndns.org,dga
1764664,zzwptymuqutzwyzt.org,dga
1124055,jwfboxyscndd.com,dga
795222,motoxperts.de,legit
294733,find-near-me.info,legit
1447476,ptatardenslavetusul.com,dga
1571427,xdbxpartbulkyf.com,dga
1911656,seussville.com,legit
1423658,ogvoepictom.com,dga
1609229,zjafsagabardinedazyx.com,dga
1558776,wgiqestnessbiophysicalohax.com,dga
1979375,kryptomagazin.sk,legit
158156,efotolab.net,legit
1995239,healthspan.co.uk,legit
1494393,smhmenhancedysb.com,dga
223029,bungiestore.com,legit
394951,ssti.ru,legit
1105502,ebfcdmrccckc.com,dga
1782555,iqdirdbnibxl.ga,dga
454391,bramjworld.com,legit
1072706,wv8c576yejj11szukuqldp8lf.org,dga
1121921,jglsrbrwhpco.com,dga
771434,marketleader.com,legit
13242,nidw.gov.bd,legit
1961112,pozvonochnik.guru,legit
1123483,jrjxkfytsrqr.com,dga
331983,utubecash.com,legit
961894,mc-clelland.com,legit
724778,wypozyczalniaalex.pl,legit
403832,leturf.info,legit
1178168,ommqhlrfaa.com,dga
432849,fruit4fit.com,legit
274404,mysticbanana.com,legit
1974725,nesta.org.uk,legit
1543039,vjwrsemitismgavenuteq.com,dga
589018,heartland.org,legit
1057240,1p1jdlmuj3czz1r5sm8f1bthsvl.net,dga
1576554,xjrtbyplaywobb.com,dga
1486741,rzrlidablyhoosieraw.com,dga
1981505,zlw168.com,legit
1572236,xdqfmen.com,dga
651045,bapco.net,legit
1260401,eqtisemitismgavenuteq.com,dga
1841585,ucoyfjmmyojgoncj.com,dga
9976,indianpornvideos.com,legit
844057,1796web.com,legit
941373,facaliss.org,legit
88622,buttonbass.com,legit
737271,luisroca13.blogspot.com,legit
1108928,fenqvwmponmn.com,dga
19023,attorneystorm.com,legit
753479,bloodandporridge.co.uk,legit
1561638,wkvnsemitismgavenuteq.com,dga
1264535,eyiaanerraticallyqozaw.com,dga
1373112,ljhnorcajanunal.com,dga
1703327,ioedgebwrwunkoywb.org,dga
1857093,lugzmfs.mooo.com,dga
1429474,oqumamentalistfanchonut.com,dga
1065055,khyjqkmrmdrraak.ru,dga
1371897,lhlvleasuredehydratorysagp.com,dga
879708,healthcarewell.com,legit
1525614,ugwysagabardinedazyx.com,dga
240240,ustboniface.ca,legit
341540,super-prix.myshopify.com,legit
1027321,8664q4kp82ry18oxnd4blorqv.biz,dga
822310,candylongju.org,legit
639535,serlibre.es,legit
573674,vkspy.by,legit
1941040,bianceng.cn,legit
341290,vandiary.com,legit
1395608,mqwkmen.com,dga
1015543,agnfcmlb.click,dga
915229,seirus.com,legit
778557,kiplingthailand.com,legit
2038096,extremeporn.tv,legit
682477,dubaicity.com,legit
1461654,qojbenhancedysb.com,dga
824256,benueblogger.com,legit
605097,hificentre.com,legit
983582,forfatterkatalogen.no,legit
1654811,ojvhyauybm.com,dga
1782746,itedxinqcrboriheut.pro,dga
796431,omina.at.ua,legit
720550,agriavenue.com,legit
1830337,muzyaiwcmqvcsgme.net,dga
1890423,pushplay.com,legit
176419,appeal-democrat.com,legit
1722625,eqymksiugkeq.biz,dga
2006064,cuponation.com.my,legit
1066479,1ygiqs8paafk3wmn11sg60egp.net,dga
1602861,yyljsatformalisticirekb.com,dga
1777898,fxyrmxftlcci.nf,dga
408088,edutronic.net,legit
1526269,uilzsemitismgavenuteq.com,dga
375486,geld.nl,legit
1325803,imptmachuslazaroqok.com,dga
2028924,pristor.ru,legit
1253682,eeyosemitismgavenuteq.com,dga
488707,children-learningreading.info,legit
1303609,hfvuinalcentricem.com,dga
485291,skagite-doktor.ru,legit
1180759,uyq2fp315g.com,dga
1696287,rowwdwfoeokavn.me,dga
1342547,jnmdorcajanunal.com,dga
1991946,kakao00.com,legit
108394,kidshockey.ru,legit
253662,pedreirao.com.br,legit
1891833,flashdozor.ru,legit
1590093,ychssemitismgavenuteq.com,dga
901421,northroyaltonsd.org,legit
903134,onlinedrama-asia.blogspot.com,legit
1045081,t1c374e848bda352a4569e4544d87f865b.in,dga
1835185,pzayzwtyzhvsndablhtaz.info,dga
1272773,flasvinskycattederifg.com,dga
957291,starfand.blogsky.com,legit
116108,coolnsmart.com,legit
1602664,yyheancorml.com,dga
1340166,jjttererwyatanb.com,dga
149009,stanby.com,legit
1104886,dtdnfbqrswru.xyz,dga
1495523,soheamentalistfanchonut.com,dga
1984473,universal-sci.com,legit
1261626,esvainalcentricem.com,dga
1336963,jfphorcajanunal.com,dga
696462,ls-collection.biz,legit
1514018,trcniologistbikerepil.com,dga
1434767,pbjhardenslavetusul.com,dga
1350623,jxyomachuslazaroqok.com,dga
1655212,oonsnhcbskpk.com,dga
1691090,nsudeskbdfvfim.in,dga
1884934,euro-football.ru,legit
1783337,jcpcoygxqspvisuxdlh.jp,dga
779111,backtoblackvinyl.com,legit
242834,1xvnk.top,legit
543720,mof.gov.mn,legit
400542,kierunekwlochy.pl,legit
23213,binariorobot.com,legit
1786876,lfbonxmincmcjxfb.sc,dga
1492794,sixypartbulkyf.com,dga
338501,angliamea.ro,legit
1030713,fruorh.com,dga
824458,mouser.ph,legit
1260615,eqxypartbulkyf.com,dga
1546714,vphzsikathrinezad.com,dga
273069,kraeuter-und-duftpflanzen.de,legit
120261,87087.com,legit
568801,webix.co.uk,legit
1046041,mlacxdzayn.info,dga
1126805,lkjfrvdopyey.cc,dga
1478608,rpgpamentalistfanchonut.com,dga
703641,skyla-us.com,legit
1201350,bfmnbyplaywobb.com,dga
1144026,rrshqigwrrbs.com,dga
33666,tubous.com,legit
428935,iisfm.nic.in,legit
1729206,qsffmyeoya.net,dga
716432,aboutmylifee.blogfa.com,legit
777230,vanbar.com.au,legit
723244,graczomaniak.pl,legit
1709394,jenurin.su,dga
1590635,yctyancorml.com,dga
1791751,oavhwlwq.eu,dga
528845,uni-duisburg.de,legit
198678,mcflycolecionaveis.com.br,legit
318449,feastmagazine.com,legit
194008,haliagency.com,legit
1868292,updqcganz.eu,dga
225792,redlemon.com.mx,legit
248471,hajuvesi.fi,legit
593636,eatnpark.com,legit
746236,bizevent.vn,legit
1364323,kutqbyplaywobb.com,dga
1975724,labolycee.org,legit
212147,defenceupdate.in,legit
1507492,thrtepictom.com,dga
928206,tribuiltmg.com,legit
194725,picfolder.top,legit
837744,psychwire.com,legit
122421,jp3a.com,legit
1949075,chamc.com.cn,legit
1837977,rtcsfnpymrytjynulquzjqoa.com,dga
1488475,scckepictom.com,dga
609431,bduploadmor.com,legit
562715,thetimbersliving.com,legit
1411412,npoiepictom.com,dga
642707,slashgenie.com,legit
739363,bezoblaka.ru,legit
1343033,jnvimen.com,dga
669644,oplanetaalternativo.com,legit
1020312,1of8uajj1skty12z7hsmfg7vmk.net,dga
1759896,uyqshqwpvszopo.org,dga
1572982,xfdzleasuredehydratorysagp.com,dga
906263,pianoandrain.com,legit
887465,kayane.fr,legit
213187,viewgrip.net,legit
1011226,gizdc8l48x8o1azc6tk1cc8d4s.biz,dga
1647982,liriuseqjkuewer.com,dga
961502,indianlawcases.com,legit
442319,forexwiki.it,legit
1236428,dhkainalcentricem.com,dga
356766,popara.mk,legit
735151,osram.se,legit
1860277,uvjdbietrup.mooo.com,dga
1886067,pronosoft.com,legit
412984,4rsportvideo.ru,legit
4100,fontspace.com,legit
1339852,jjobamentalistfanchonut.com,dga
1001136,2z1fwfb6evuv1spzak0dx0cki.com,dga
227926,inletshopping.com,legit
1117867,icbjegoccsbj.biz,dga
528476,holviks.no,legit
749078,sntv.rs,legit
663025,compreauto.com.br,legit
1907856,rockthetraveller.com,legit
25556,oac.co.in,legit
2042072,virtualsupermodels.com,legit
984766,tapflo.dk,legit
1288993,ggxgsemitismgavenuteq.com,dga
213052,timbres-de-france.com,legit
1347068,jtocsagabardinedazyx.com,dga
1102784,ddchibctyjkp.com,dga
1039331,17a31wx1nfht5j15h6pbr10wauif.net,dga
37061,megalektsii.ru,legit
876689,gk-techmedia.com,legit
1237980,djltererwyatanb.com,dga
1814858,ctbadzreuxty.com,dga
412585,videohut.to,legit
722114,mapolyng.com,legit
1020260,106bp5twz9inh1ntr3wwlxysa4.org,dga
924288,thedocci.com,legit
344292,grenade.com,legit
45894,pba.ph,legit
1324911,ikvdbyplaywobb.com,dga
1914379,tora-ana.jp,legit
943855,40shahideamol.blogfa.com,legit
1790344,nerpruxojvdvlkidmij.cc,dga
1061956,vdftgj.com,dga
1394546,mowomachuslazaroqok.com,dga
870036,energy-oil-gas.com,legit
1631483,ecsrlbmjinjkv.com,dga
554698,sailandmore.de,legit
1089315,1ucynrq1dn8bmv1gpcl4v1mcmtr2.com,dga
1864248,pyrglyt.com,dga
1417033,nxjzvinskycattederifg.com,dga
1073759,n167reh0oc9vpnv0cbb0cay.org,dga
2000356,mensagemespirita.com.br,legit
243868,reggaeville.com,legit
114610,shikazemi.net,legit
745930,elfcosmetics.dk,legit
1846834,xncltgtpz.org,dga
23694,vicente-news.com,legit
1051433,19kpu7e7712jtw8ztukdnsqa3.com,dga
1351771,jztgllaabettingk.com,dga
1931356,thirteen.org,legit
1354161,kcswiologistbikerepil.com,dga
1897413,mondocteur.fr,legit
1137027,pmuvityifjjq.xyz,dga
354373,annasamuil.de,legit
616508,napta.co,legit
1400150,mywmsemitismgavenuteq.com,dga
349340,mililink.com,legit
69569,brt.it,legit
1158070,xhebkenhdyyx.com,dga
1203332,bhvqardenslavetusul.com,dga
1565492,wsecrasildeafeninguvuc.com,dga
1255725,eirursensinaix.com,dga
327426,fenixx-repack.ru,legit
459613,chiefmomofficer.org,legit
1974958,v2ray.com,legit
228113,xzone.to,legit
253514,depoisdosquinze.com,legit
322618,dwt.com,legit
1080877,qcmnhnqlutiarsj.ru,dga
832158,mikabook.co,legit
1691177,wvkxdgdtaaymug.net,dga
804927,dondadatechnologies.com,legit
1086130,jabkja13j2p3h179sxheoosyk7.org,dga
661498,bhtechinformatica.com.br,legit
1302346,hdzhpartbulkyf.com,dga
1192817,aqtcepictom.com,dga
1843549,vjftfabzpkuwlngch.net,dga
1974691,proko.com,legit
1362766,ksjrbyplaywobb.com,dga
1327332,iozesikathrinezad.com,dga
1124887,kjcyllkyqmtb.ru,dga
1161165,ymijrudqrsvu.com,dga
1340420,jjygrsensinaix.com,dga
792266,kfzsachverstand.de,legit
350853,imhodom.ru,legit
807415,bhms-swiss.hk,legit
1034351,1nj8fnm19na918125hc0i15xfnup.net,dga
2023940,nii.sk,legit
1236042,dhdxmen.com,dga
1816288,drrtjwjlg.org,dga
649095,horufadhimedia.com,legit
761192,nucleonica.com,legit
1120899,jbbojjcsngdx.pw,dga
210128,barberoloco.org,legit
1396018,msftbyplaywobb.com,dga
475326,ruslanostashko.livejournal.com,legit
874967,fullbucketpets.com,legit
610502,professoridea.com,legit
881699,housebarra.com,legit
87278,konhaber.com,legit
1035176,5s6wv191q5zz12fvos916uhtrg.biz,dga
199180,gayeroticvideoindex.com,legit
1709463,jepomon.info,dga
1716257,sivawew.su,dga
294556,nestmann.com,legit
1304062,hhdrllaabettingk.com,dga
1421293,ocsoestnessbiophysicalohax.com,dga
286171,extremedownload.org,legit
1924827,compressor.io,legit
1895163,mysupermarket.co.uk,legit
832244,mmready.com,legit
1256067,eizmrasildeafeninguvuc.com,dga
713581,givena.ru,legit
893345,manisawebtv.com,legit
1257254,ekyysatformalisticirekb.com,dga
1787836,lssroxpqnrvk.de,dga
599105,pinegarbranson.com,legit
243326,vascak.cz,legit
1736171,dtjlsyjunqrwjpp.net,dga
1289583,gikkancorml.com,dga
1775558,eovrkwxucjt.sh,dga
371489,suzuki-forums.com,legit
1947885,yokohama-norenkai.jp,legit
247594,travelmarketreport.com,legit
1843777,vmvwqarvoyc.org,dga
925626,thermomixdivarecipes.com,legit
116187,castlebranch.com,legit
1465515,qutrpartbulkyf.com,dga
1834700,prccqmllsgtxqbebkhedo.org,dga
173155,science.co.il,legit
1252729,eedjalitydevonianizuwb.com,dga
1601153,yuxgllaabettingk.com,dga
1521737,uanaellefrictionlessv.com,dga
246978,cocinaparahombres.com,legit
1950345,chopcult.com,legit
41238,erotica7.com,legit
1854190,dtkspov.dynserv.com,dga
70404,cameran.jp,legit
1698071,xrqtvsekvdwxvw.tw,dga
907235,polarsemi.com,legit
1051471,3zbp1a14uk3dbxqy9uer5pn2c.biz,dga
686076,brentwoodautobrokers.com,legit
199735,ahduni.edu.in,legit
480505,wurth.se,legit
1392752,mmgherionirkutskagl.com,dga
1704169,wdcpvbmatgpilasoj.su,dga
1672159,wedhxfqyncligicna.com,dga
796290,odetteberlin.de,legit
113894,goodluck753.com,legit
819716,krasivye-mesta.ru,legit
1422400,oerwalitydevonianizuwb.com,dga
1988646,gcs.k12.nc.us,legit
869611,ellendolgen.com,legit
55361,compressor.io,legit
1702828,yaqgoldynlnislxes.com,dga
1650391,mkeybfvojqdrq.bid,dga
781592,adareinternational.net,legit
1758546,twvxdsqzqpwqohio.com,dga
1962192,shareteccu.com,legit
917839,smilingandshininginsecondgrade.blogspot.com,legit
8608,showtv.com.tr,legit
660719,anuariodoceara.com.br,legit
585916,omerohome.com,legit
1476820,rlzvestnessbiophysicalohax.com,dga
290703,lascosasdemami.com,legit
581566,schick-toikka.com,legit
1625045,bglukquokfqwe.com,dga
1764040,zhzpcetbmxuwhozxpjizjbbacibu.info,dga
1383788,lxogalitydevonianizuwb.com,dga
285951,rolandoastarita.blog,legit
330642,mojo-themes.com,legit
1112833,gpfiltgnmkci.com,dga
1005004,8po7i61irbku19f13sugksmwl.com,dga
121092,codeaha.com,legit
301927,focusandtesting.com,legit
1832113,nzgxcstgcfrsrqesmiwiclr.org,dga
6783,adultmult.tv,legit
1919267,wholesale7.net,legit
50590,torguard.net,legit
1107858,etxphhsuyics.ru,dga
1921226,lilluna.com,legit
908650,prosperousphysicist.com,legit
1023074,1d3l9ne1kkktnlwtyupky6umrp.org,dga
528924,castingcouchxfan.com,legit
1529476,uohosatformalisticirekb.com,dga
1342227,jngmanerraticallyqozaw.com,dga
708998,yummy0831.tumblr.com,legit
1553610,vzceidablyhoosieraw.com,dga
2022502,digiarz.com,legit
1882638,dcollege.net,legit
1247507,dxcpvinskycattederifg.com,dga
1972605,oppodigital.jp,legit
1709435,jepepuj.su,dga
1383872,lxpwrasildeafeninguvuc.com,dga
1962960,lacronica.com,legit
794108,mamut.com,legit
848627,anderson3.k12.sc.us,legit
488519,silentnook.pl,legit
1580976,xprkorcajanunal.com,dga
885332,jasonowens.com,legit
558087,emanation.com,legit
432525,femalemuscletalk.tumblr.com,legit
886689,juclinical.com,legit
134894,geopoliticsoftheworld.ru,legit
379292,mekameleen.net,legit
1098894,bpququuukrqi.com,dga
879693,healthandlight.com,legit
1397629,mupkepictom.com,dga
108054,information.com,legit
269373,optique-pro.fr,legit
1618537,zvnoinalcentricem.com,dga
1369214,ldopsikathrinezad.com,dga
750648,brazilianbikini.com,legit
2000341,bilfen.com,legit
241435,realincest.org,legit
1170666,2a4xh333ylk.net,dga
206793,skodapromo.be,legit
560418,myphpinfo.com,legit
614566,rexel.be,legit
881252,hometownhitz.com,legit
1951151,kpopstarz.cn,legit
806055,ciktel.com,legit
1559257,wguaamentalistfanchonut.com,dga
1204483,bjqgepictom.com,dga
1590355,ycnrsatformalisticirekb.com,dga
1237006,dhuersensinaix.com,dga
841079,4maturesex.com,legit
414568,anikasdiylife.com,legit
937888,mediaclick.com.tr,legit
1621177,zzmkpartbulkyf.com,dga
277338,apkforever.com,legit
1994662,seero.men,legit
1570944,xbtcsikathrinezad.com,dga
1545314,vnjvsemitismgavenuteq.com,dga
215978,cusmaker.com,legit
1585518,xvxxiologistbikerepil.com,dga
444030,liceoartisticobergamo.gov.it,legit
344402,uhb.nhs.uk,legit
1852,yesmovies.to,legit
605358,runebet.com,legit
873260,flashbangstore.com,legit
557774,destroyedporn.com,legit
2028583,all-sbor.net,legit
439771,antonellovenditti.it,legit
1473388,rhsfancorml.com,dga
1948464,rejetto.com,legit
1066925,c1e9oo13eteyz87bgfux65d4.org,dga
1474681,rjoyardenslavetusul.com,dga
1666677,tsccaxwayqgng.com,dga
610105,vnvclasses.com,legit
1203167,bhtabyplaywobb.com,dga
2001032,stockroom.com,legit
147023,macs-usa.com,legit
1517566,tvlcsagabardinedazyx.com,dga
1109474,fgqyikrrmfky.biz,dga
1918961,putlocker.lu,legit
2047306,survivefrance.com,legit
1046884,pnhmlmeybvs.pl,dga
1100949,chfvvgxiixby.com,dga
664662,escaponline.com.br,legit
372142,boysunlimited439.tumblr.com,legit
1677624,ypwosgnjytynbqin.com,dga
44126,ip111.cn,legit
2037517,cantinhodosaber.com.br,legit
1762033,wyrxpttftznqfvx.com,dga
949602,havayehesabdari.blogfa.com,legit
1827657,lbwfhalwcgevnrtvtukthm.biz,dga
32822,rumaysho.com,legit
937463,pretoriamanor.co.za,legit
405322,icff.com,legit
816033,wouldjesusdiscriminate.org,legit
190364,backmarket.es,legit
303493,nodeguide.com,legit
1017892,c1q8701vdu4641jfif011paso7.org,dga
1919724,oneworld.com,legit
1187880,ailiinalcentricem.com,dga
1645930,klghdjmjjxvirgeh.com,dga
1134886,ovuersryyjqi.cc,dga
1565181,wqxjancorml.com,dga
809296,sagatravel.is,legit
983512,exclusivehouseholdstaff.com,legit
358049,futsalsur.es,legit
1797315,rfrsrebdulo.tj,dga
1032539,ilgpaixwaacpdti.info,dga
1747095,mxmtkvpum39i25m59myp42g23aslxp22m39nxdq.org,dga
312219,sohoshop.ru,legit
938528,uafinance.biz,legit
1516926,ttzxsatformalisticirekb.com,dga
1729562,rkbkfgn.com,dga
1639610,hqteqgscngoqe.com,dga
1796310,qqpsath.de,dga
809729,tropriaairport.com,legit
458750,adfmedia.org,legit
1215323,bzcdanerraticallyqozaw.com,dga
451254,lexesugowo.jimdo.com,legit
1115077,hiylbrygnffb.pw,dga
369667,finetoursnewzealand.co.nz,legit
620350,zahnstein-entfernen.eu,legit
524919,tinano.com.br,legit
224705,vitrini.by,legit
1251891,ecljmen.com,dga
1961925,div.as,legit
1073069,1kso2fj1f19csh6ho1pv7i827.org,dga
1796391,qrtccpawhtbald.ir,dga
256461,casanogan.com.br,legit
335317,compume.com.eg,legit
1446457,prjcorcajanunal.com,dga
1009263,mhh7f9uf1taz128ia9oyir1mv.org,dga
1551468,vvqhalitydevonianizuwb.com,dga
1172859,araixxyqacz.net,dga
884255,ioegg.net,legit
1316033,hxlnfordlinnetavox.com,dga
1784152,jortjgmdcficksvh.mu,dga
413021,vorpal-robotics-store.myshopify.com,legit
1843161,vcxrroimursdqzvdcg.com,dga
1722860,eziknkdsholapet.com,dga
1184036,acddsikathrinezad.com,dga
85997,modiks.com,legit
999640,bioguia.org,legit
810859,parararam.com,legit
629828,surfserv.pl,legit
1356021,kgkhanarianaqh.com,dga
1974738,myprotein.es,legit
17456,czechcasting.com,legit
342122,debate-motions.info,legit
1130680,nedcjnyksnkh.biz,dga
933700,wifiext.net,legit
1112776,goptrmqjcuuc.org,dga
1701799,wvhbxpnjhcjiupsbh.tw,dga
389495,tperm.pt,legit
437644,sparfix.fr,legit
1306945,hlflamentalistfanchonut.com,dga
1985090,ratpack.gr,legit
1154475,vvnixhxpojyx.pw,dga
1986145,escort-ads.com,legit
706524,tommytsrancho.com,legit
1415795,nvnisagabardinedazyx.com,dga
1883091,sovkusom.ru,legit
1379849,lrxniologistbikerepil.com,dga
1166045,krdieaxcrzzrztcuypvl.net,dga
1580391,xpgvestnessbiophysicalohax.com,dga
1150789,uofbujbbsyrc.biz,dga
868856,ecomarine.com,legit
1810318,ytpcyugf.tw,dga
1732729,wymexodsholapet.com,dga
819707,swissdeluxehotels.com,legit
1653534,nubqxwdwodsui.com,dga
1524560,uezkancorml.com,dga
1761332,wlnvqpdluxtdwgpv.biz,dga
1988581,lonetparflanbe.ru,legit
1817400,elcxycayzzepcjvkygsfrac.com,dga
1944955,reparcher-chrown.com,legit
456939,putramelayu.web.id,legit
765069,thelinuxshop.co.uk,legit
1975375,juris.de,legit
61326,kak-bog.ru,legit
715235,kim-co.ru,legit
469135,crochepassoapasso.com.br,legit
175370,lumoslearning.com,legit
1369128,ldncalitydevonianizuwb.com,dga
311301,longmp3.club,legit
1515324,trykardenslavetusul.com,dga
1597776,yoymbyplaywobb.com,dga
467739,arquivosonline.com.br,legit
1107274,engwgwdufkhh.com,dga
1142317,rbnfirsookfr.com,dga
277256,playhugelottos.com,legit
1586324,xxlxvinskycattederifg.com,dga
126835,dashplatform.com,legit
1194660,aukirasildeafeninguvuc.com,dga
1729221,qsoiia.net,dga
1340041,jjrgsagabardinedazyx.com,dga
1450670,pxfssemitismgavenuteq.com,dga
326018,ingoram.com,legit
1586465,xxojvinskycattederifg.com,dga
1124700,kggcrijcpyns.com,dga
1218412,ccoellaabettingk.com,dga
281129,torturesru.org,legit
1905230,quickmobilefix.com,legit
76336,queue-it.net,legit
1105909,edtoscuucfou.xyz,dga
242920,battlestand.com,legit
388823,stockex.co.tt,legit
198904,english-dictionary.help,legit
769647,wanitahijab.com,legit
1355570,kezrbyplaywobb.com,dga
5469,sat.gob.mx,legit
479101,npscan-cra.com,legit
1374518,llhzbyplaywobb.com,dga
1992250,lzpcc.com.cn,legit
305375,akitut.ru,legit
890626,libraryhistorybuff.org,legit
76283,yjsnpi.nu,legit
1266264,fbrgiologistbikerepil.com,dga
1841932,uikncojgadeq.net,dga
1463993,qslobyplaywobb.com,dga
535972,digitalshiftmedia.com,legit
1997602,hpcgw.net,legit
1790766,nlbwytgfvdf.kz,dga
503976,dbko.net,legit
710448,pharmacists.ca,legit
446567,scritturaprivata.net,legit
643045,kessels-automobielen.nl,legit
1058557,13784trbaojzq1cu2t2bzrakyv.com,dga
1790515,nhjhadxso.sx,dga
1843665,vldzpehx.net,dga
688697,danliudesign.com,legit
188869,kino-like.ru,legit
920114,sterlingpublicschools.org,legit
1452384,pzinalitydevonianizuwb.com,dga
611523,knowledgebible.com,legit
541707,bytrf.ru,legit
1170113,ychxeio.eu,dga
274236,firmwareflashfile.net,legit
871068,evielou.com,legit
1921401,flightsearchdirect.com,legit
1152650,veterootreserve.ru,dga
567407,xyht.com,legit
206916,amibay.com,legit
960446,banyak.co.uk,legit
988990,ry7.ru,legit
532710,mchenrycreative.com,legit
425766,poesiaslucia.blogspot.com.es,legit
1801156,tmehcabvxphycikvllha.cx,dga
1514249,trgxenhancedysb.com,dga
196403,1004do.com,legit
1084368,lna93ro2lgrg1gzpy7j1xz653a.net,dga
1437457,pfeporcajanunal.com,dga
1771554,cgercuknsabyqr.so,dga
1675487,xqkkuiwpnhdlqai.click,dga
913240,ryekc.com,legit
463757,tahoereno.com,legit
1648244,llpjubjuywxjy.com,dga
518019,buschjost.de,legit
912322,rocketmime.com,legit
848632,andersonfireplace.com,legit
1629300,ddromhgxblpknteu.com,dga
1347184,jtqhsikathrinezad.com,dga
1266193,fbqbamentalistfanchonut.com,dga
697989,mountsaintvincent.edu,legit
560217,mo-adventures.com,legit
1954331,homeporntorrents.com,legit
745674,paterikakeimena.blogspot.gr,legit
693087,hermitageclub.com,legit
255195,tkbooks.vn,legit
1143919,rrkpqngkbfhh.biz,dga
1845262,wmavcomeaeyex.biz,dga
1691941,yfuqbprjvpksrw.cc,dga
1650965,mqjqntbftf.com,dga
1978845,solvia.es,legit
1396422,msousemitismgavenuteq.com,dga
523100,dermabox.com.br,legit
763311,seaveg.co.uk,legit
1530857,uqlfleasuredehydratorysagp.com,dga
1674470,xeupyugclrhsifhmgn.com,dga
1152279,uyxxicssoetc.biz,dga
1929981,bearbt.com,legit
1529052,umxsancorml.com,dga
801750,thefour.com,legit
722214,naqaae.eg,legit
1394523,movxpartbulkyf.com,dga
1417487,nxrsllaabettingk.com,dga
1545949,vnuyellefrictionlessv.com,dga
837620,nutworks.com.au,legit
1277333,fregamentalistfanchonut.com,dga
1321107,iemkardenslavetusul.com,dga
2044056,roamm.com,legit
1098748,boeubfmuujtg.biz,dga
998879,aguilarpia.blogspot.mx,legit
769915,fonds-katzarov.ch,legit
2006179,wpspublish.com,legit
1878352,cnrtl.fr,legit
696597,lyricstime.com,legit
261775,eventhint.com,legit
861901,comidasquecuran.com,legit
1284584,gaesbyplaywobb.com,dga
1366612,kyusepictom.com,dga
667066,jbbechara.com.br,legit
238686,beinternetawesome.withgoogle.com,legit
474300,robellisdogtraining.wordpress.com,legit
1424164,oigjerionirkutskagl.com,dga
158454,118.lt,legit
1533743,uuzdamentalistfanchonut.com,dga
1741856,jlqfktipgmqtzr.com,dga
37133,intelliresponse.com,legit
1930922,fantasyrape.biz,legit
1502154,tbamepictom.com,dga
520016,sekilasharga.xyz,legit
293243,powerpoints.org,legit
1434645,pbhaellefrictionlessv.com,dga
763928,sotherans.co.uk,legit
1659602,qnxhkebesnfojkva.eu,dga
860277,cielitolindorestaurants.com,legit
987496,cellswitchportal.co.za,legit
1690301,crfnjqkcfwsdax.pw,dga
1127983,lsvskgeeehrx.com,dga
452826,ridgeskateboards.com,legit
203930,webcomics.it,legit
1785903,kpqpxxgrnbad.cm,dga
1810029,ypjkhlikcnqknrqp.sh,dga
1817015,eeqcvrdavxdtgzovautcolkx.org,dga
633506,davinnie05.blogspot.com.es,legit
850589,athenssheriff.com,legit
560743,omnipong.com,legit
309188,glsica.org,legit
1381395,ltywsatformalisticirekb.com,dga
1593500,yigeepictom.com,dga
1172609,a5fh3b3n1yr9d.net,dga
526823,oroc.pt,legit
1963175,joyoungtp.tmall.com,legit
1799145,sifhqamg.net,dga
684599,autoclickermac.com,legit
1896199,digital-eliteboard.com,legit
26601,rr.tv,legit
1492533,sisemachuslazaroqok.com,dga
1092908,jfdc1a5c66287991d5dd6ee89e5813157c.cn,dga
415877,mods.io,legit
1504733,tdujrsensinaix.com,dga
622507,apollo.de,legit
1979523,bettermarks.com,legit
1341111,jlliardenslavetusul.com,dga
965832,cdtracker.co.pl,legit
354287,noondaycollection.com,legit
18424,interestingengineering.com,legit
1950872,minecraft-serverlist.net,legit
250498,konspekta.net,legit
903933,ourstyledsuburbanlife.blogspot.com,legit
1690402,gxkyalprihbrif.com,dga
1427697,oohyllaabettingk.com,dga
1177444,mspmbvg3x2ho3zf.net,dga
1995144,sweetheartvideo.com,legit
352645,cursinhopreenem.com.br,legit
