,host,class
1834592,ppjjktvowcjcufvfabiwbjzx.org,dga
1550082,vtsaardenslavetusul.com,dga
1909475,ppcmate.com,legit
358588,ccpa.net,legit
1828406,lnxeyyhosikydraotusrxlupd.biz,dga
1347981,jvemererwyatanb.com,dga
1900533,abanca.com,legit
759715,lyuksdekor.ru,legit
1586005,xxgjsagabardinedazyx.com,dga
36406,blogthinkbig.com,legit
1439497,phpbsatformalisticirekb.com,dga
1522027,uataalitydevonianizuwb.com,dga
714610,transgenderhub.com,legit
110959,instagrama.ru,legit
863891,cufatcats.org,legit
1113746,hcjstsrixcsg.xyz,dga
2003261,insta360.com,legit
1050712,1x1ypacz3glql1di0b0n12t4ljp.net,dga
965739,busportal.pl,legit
813356,daddybearwatch.tumblr.com,legit
1333688,jbjcpartbulkyf.com,dga
422110,94ht.com,legit
404697,ssbarnhill.com,legit
157400,hypebot.com,legit
617377,hatch.mx,legit
1822912,hzwpqsmwsukmbxenwcu.biz,dga
1473653,rhxasemitismgavenuteq.com,dga
250720,turkmenyurt.tv,legit
1917239,scielo.org,legit
1696247,cdldjyvsbfmicx.tw,dga
886153,jobkillersystem.com,legit
1809189,yddlfaydcxhiu.ga,dga
462492,oikostreecrops.com,legit
244788,po-aptekam.ru,legit
1391488,mkaesemitismgavenuteq.com,dga
782018,alta-toc.ru,legit
329820,aiohotgirl.com,legit
673730,vaporaqui.com.br,legit
231160,robotics.ovh,legit
1631520,eddihpfvajsgdwg.bid,dga
463687,subtitles.org,legit
784793,centeraktiv.de,legit
1564848,wqpoardenslavetusul.com,dga
321624,mql4tradingautomation.com,legit
36655,sfd.pl,legit
1194050,asvyvinskycattederifg.com,dga
864556,danacatherinemusic.com,legit
796178,nudist-pics.net,legit
1788705,mgjdmjg.so,dga
1891514,automart.co.za,legit
48890,jogosonline.uol.com.br,legit
281835,cofemac.com.br,legit
1674425,xedworke.com,dga
564867,top8forexbrokers.com,legit
1317181,hzfupartbulkyf.com,dga
1405350,nhmmmen.com,dga
625691,lope-soumise.tumblr.com,legit
308666,iranejra.com,legit
1292572,godhardenslavetusul.com,dga
862761,cosmores.com,legit
1595422,ykwoepictom.com,dga
957399,sunsunshahd.com,legit
1224032,cmkgllaabettingk.com,dga
113829,fukudb.jp,legit
886203,joedog.org,legit
2003300,brickpicker.com,legit
139339,psychology-faq.com,legit
2035318,samesound.ru,legit
